FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
265, ,LCHQ_279, ,POINT,UNCLASSIFIED,PARKER HANNIFIN CORPORATION,216,896-3000,6035 PARKLAND BOULEVARD, ,CLEVELAND,OH,44124,4186,CUYAHOGA,39035,LOCATED AT NE CORNER OF LANDER RD AND PARKLAND BLVD., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28609322,TGS,-81.461927,41.506589,NAVTEQ,2006Q3,ONENTITY,YES,TGS
266, ,LCHQ_134, ,POINT,UNCLASSIFIED,EXPRESS SCRIPTS INCORPORATED,314,770-1666,13900 RIVERPORT DRIVE, ,MARYLAND HEIGHTS,MO,63043,4804,ST LOUIS,29189,"LOCATED ON THE EAST SIDE OF RIVERPORT DRIVE, .11 MILE NORTH OF THE INTERSECTION OF RIVERPORT TECH CENTER DRIVE AND RIVERPORT DRIVE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,111486409,TGS,-90.470035,38.754576,NAVTEQ,2006Q3,ONENTITY,YES,TGS
267, ,LCHQ_213, ,POINT,UNCLASSIFIED,NATIONAL CITY CORPORATION,216,222-2000,1900 EAST NINTH STREET, ,CLEVELAND,OH,44114,3404,CUYAHOGA,39035,"LOCATED W SIDE OF E 9TH ST, BETWEEN EUCLID AVE AND VINCENT AVE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28589993,TGS,-81.687653,41.50067,NAVTEQ,2006Q3,ONENTITY,NO,TGS
268, ,LCHQ_126, ,POINT,UNCLASSIFIED,EMERSON ELECTRIC COMPANY,314,553-2000,8000 WEST FLORISSANT AVENUE, ,SAINT LOUIS,MO,63136,1414,ST LOUIS,29189,"LOCATED ON THE WEST SIDE OF WEST FLORISSANT AVENUE, .21 MILE NORTH OF THE INTERSECTION OF LUCAS-HUNT ROAD AND WEST FLORISSANT AVENUE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20613842,TGS,-90.278094,38.727876,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
269, ,LCHQ_311, ,POINT,UNCLASSIFIED,SHERWIN-WILLIAMS COMPANY,216,566-2000,101 PROSPECT AVENUE EAST, ,CLEVELAND,OH,44115,1069,CUYAHOGA,39035,LOCATED AT NE CORNER OF PROSPECT AVE E AND ONTARIO ST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,118838413,TGS,-81.692097,41.498434,NAVTEQ,2006Q3,ONENTITY,YES,TGS
270, ,LCHQ_413, ,POINT,UNCLASSIFIED,CHARTER COMMUNICATIONS,314,965-0555,12405 POWERSCOURT DRIVE, ,SAINT LOUIS,MO,63131,3673,ST LOUIS,29189,"LOCATED ON THE NORTH END OF POWERSCOURT DRIVE, .22 MILE NORTH OF THE INTERSECTION OF JJ KELLEY MEMORIAL DRIVE AND POWERSCOURT DRIVE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20588195,TGS,-90.449635,38.608756,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
271, ,LCHQ_210, ,POINT,UNCLASSIFIED,EATON CORPORATION,216,523-5000,1111 SUPERIOR AVENUE, ,CLEVELAND,OH,44114,2529,CUYAHOGA,39035,"LOCATED NW SIDE OF SUPERIOR AVE E, BETWEEN E 12TH ST AND ROCK & ROLL BLVD.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,125257612,TGS,-81.686904,41.503551,NAVTEQ,2006Q3,ONENTITY,YES,TGS
272, ,LCHQ_108, ,POINT,UNCLASSIFIED,ELECTRONIC DATA SYSTEMS,972,604-6000,5400 LEGACY DRIVE, ,PLANO,TX,75024,3105,COLLIN,48085,"ENTERANCE IS LOCATED ON THE SW SIDE OF HEDGCOXE RD, 3 BUILDINGS IN COMPLEX", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,126607896,TGS,-96.808631,33.076613,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
273, ,LCHQ_087, ,POINT,UNCLASSIFIED,"FEDERATED DEPARTMENT STORES, INCORPORATED",513,579-7000,7 WEST SEVENTH STREET, ,CINCINNATI,OH,45202,2424,HAMILTON,39061,S SIDE OF 7TH ST W ACROSS FROM DOERR ALY, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,32031709,TGS,-84.514058,39.103355,NAVTEQ,2006Q3,ONENTITY,YES,TGS
274, ,LCHQ_118, ,POINT,UNCLASSIFIED,"JC PENNEY COMPANY, INCORPORATED",972,431-1000,6501 LEGACY DRIVE, ,PLANO,TX,75024,3612,COLLIN,48085,NE SIDE OF LEGACY DR BETWEEN CORPORATE DR AND HEADQUARTERS DR, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17728242,TGS,-96.831873,33.081707,NAVTEQ,2006Q3,ONENTITY,YES,TGS
