FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
127, ,LCHQ_315, ,POINT,UNCLASSIFIED,EASTMAN CHEMICAL COMPANY,423,229-2000,200 SOUTH WILCOX DRIVE, ,KINGSPORT,TN,37660,5147,SULLIVAN,47163,ENTITY IS LOCATED ON THE WEST CORNER OF SOUTH WILCOX DRIVE AND LINCOLN STREET, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,115724075,TGS,-82.550936,36.535709,NAVTEQ,2006Q3,ONENTITY,YES,TGS
128, ,LCHQ_094, ,POINT,UNCLASSIFIED,COMCAST CORPORATION,215,665-1700,1500 MARKET STREET, ,PHILADELPHIA,PA,19102,2100,PHILADELPHIA,42101,LOCATED ON THE WEST SIDE OF INTERSECTION OF S PENN SQUARE AND S 15TH ST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18718471,TGS,-75.165773,39.952099,NAVTEQ,2006Q3,ONENTITY,YES,TGS
129, ,LCHQ_147, ,POINT,UNCLASSIFIED,"PULTE HOMES, INCORPORATED",248,647-2750,100 BLOOMFIELD HILLS PARKWAY, ,BLOOMFIELD HILLS,MI,48304,2949,OAKLAND,26125,E SIDE OF BLOOMFIELD HILLS PKY APPROX 0.17 MILES S OF E LONG LAKE RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,19620729,TGS,-83.23544,42.583479,NAVTEQ,2006Q3,ONENTITY,YES,TGS
130, ,LCHQ_417, ,POINT,UNCLASSIFIED,THE TIMKEN COMPANY,330,438-3000,1835 DUEBER AVENUE SOUTHWEST, ,CANTON,OH,44706,2728,STARK,39151,LOCATED ON EAST SIDE OF DUEBER AVE SW BETWEEN BETWEEN 18TH ST SW AND 19TH ST SW, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,106636353,TGS,-81.394655,40.778652,NAVTEQ,2006Q3,ONENTITY,YES,TGS
131, ,LCHQ_345, ,POINT,UNCLASSIFIED,FEDERAL-MOGUL CORPORATION,248,354-7700,26555 NORTHWESTERN HIGHWAY, ,SOUTHFIELD,MI,48034,2146,OAKLAND,26125,SW CORNER OF NORTHWESTERN HWY AND LAHSER RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20131766,TGS,-83.26244,42.482398,NAVTEQ,2006Q3,ONENTITY,YES,TGS
132, ,LCHQ_305, ,POINT,UNCLASSIFIED,"FORTUNE BRANDS, INCORPORATED",847,484-4400,520 LAKE COOK ROAD, ,DEERFIELD,IL,60015,5611,LAKE,17097,"LOCATED ON THE SOUTHWEST SIDE OF LAKE COOK RD, .29 MILES SOUTHEAST OF KATES RD.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20131235,TGS,-87.840916,42.154342,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
133, ,LCHQ_239, ,POINT,UNCLASSIFIED,ASHLAND INCORPORATED,859,815-3333,50 EAST RIVERCENTER BOULEVARD, ,COVINGTON,KY,41011,1683,KENTON,21117,.07 MILES NORTHEAST OF MADISON AVENUE ON THE NORTH SIDE OF EAST RIVERCENTER BOULEVARD, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,32020402,TGS,-84.510448,39.090151,NAVTEQ,2006Q3,ONENTITY,NO,TGS
134, ,LCHQ_045, ,POINT,UNCLASSIFIED,WALGREEN COMPANY,847,914-2500,200 WILMOT ROAD, ,DEERFIELD,IL,60015,4620,LAKE,17097,"LOCATED ON THE WEST SIDE OF WILMOT RD, DIRECTLY ACROSS FROM THE T INTERSECTION OF WILMOT RD AND LAUREL AVE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,19763194,TGS,-87.870667,42.156857,NAVTEQ,2006Q3,ONENTITY,YES,TGS
135, ,LCHQ_343, ,POINT,UNCLASSIFIED,CDW CORPORATION,847,465-6000,200 NORTH MILWAUKEE AVENUE, ,VERNON HILLS,IL,60061,1577,LAKE,17097,"LOCATED ON THE SOUTHWEST SIDE OF N MILWAUKEE AVE, .16 MILES SOUTHEAST OF CONTINENTAL DR.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20122453,TGS,-87.943627,42.228968,NAVTEQ,2006Q3,ONENTITY,YES,TGS
136, ,LCHQ_099, ,POINT,UNCLASSIFIED,WASHINGTON MUTUAL INCORPORATED,206,461-2000,1301 2ND AVENUE, ,SEATTLE,WA,98101,2005,KING,53033,LOCATED ON THE NORTH SIDE OF THE INTERSECTION OF UNIVERSITY STREET AND 2ND AVENUE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21089523,TGS,-122.337162,47.60801,NAVTEQ,2006Q3,ONENTITY,YES,TGS
137, ,LCHQ_472, ,POINT,UNCLASSIFIED,CONSECO INSURANCE GROUP,317,817-6100,11825 NORTH PENNSYLVANIA STREET, ,CARMEL,IN,46032,4555,HAMILTON,18057,.05 MILES NORTH OF COLLEGE DRIVE ON THE EAST SIDE OF NORTH PENNSYLVANIA STREET, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,19496778,TGS,-86.154778,39.961992,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
138, ,LCHQ_196, ,POINT,UNCLASSIFIED,ORACLE CORPORATION,650,506-7000,500 ORACLE PARKWAY, ,REDWOOD CITY,CA,94065,1677,SAN MATEO,06081,ENTRANCE TO ENTITY CAMPUS IS LOCATED ON THE NW CORNER OF THE EASTERN MOST INTERSECTION OF MARINE PKY AND ORACLE PKY., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28503563,TGS,-122.262077,37.529883,NAVTEQ,2006Q3,ONENTITY,YES,TGS
139, ,LCHQ_167, ,POINT,UNCLASSIFIED,TEXAS INSTRUMENTS INCORPORATED,972,995-2011,12500 TI BOULEVARD, ,DALLAS,TX,75243,0592,DALLAS,48113,"LOCATED ON THE EAST SIDE OF TI BLVD, 0.14 MI NE OF FOREST LN.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17665961,TGS,-96.75412,32.911278,NAVTEQ,2006Q3,ONENTITY,YES,TGS
140, ,LCHQ_339, ,POINT,UNCLASSIFIED,SAFECO CORPORATION,206,545-5000,4333 BROOKLYN AVENUE NORTHEAST,SAFECO PLAZA,SEATTLE,WA,98185,1016,KING,53033,LOCATED ON THE NORTHWEST CORNER OF THE INTERSECTION OF BROOKLYN AVENUE NORTHEAST AND NORTHEAST 45TH STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-15T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21048150,TGS,-122.314591,47.661517,NAVTEQ,2006Q3,ONENTITY,YES,TGS
141, ,LCHQ_073, ,POINT,UNCLASSIFIED,DUPONT COMPANY INCORPORATED,302,774-1000,1007 NORTH MARKET STREET, ,WILMINGTON,DE,19898,0001,NEW CASTLE,10003,NORTHWEST SIDE OF NORTH MARKET STREET. BETWEEN WEST 10TH STREET AND WEST 11TH STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18839376,TGS,-75.547747,39.746079,NAVTEQ,2006Q3,ONENTITY,YES,TGS
142, ,LCHQ_221, ,POINT,UNCLASSIFIED,AES CORPORATION,703,522-1315,4300 WILSON BOULEVARD, ,ARLINGTON,VA,22203,1830,ARLINGTON,51013,SOUTHEAST CORNER OF THE INTERSECTION OF WILSON BLVD AND N GLEBE RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18422125,TGS,-77.112639,38.879677,NAVTEQ,2006Q3,ONENTITY,YES,TGS
143, ,LCHQ_449, ,POINT,UNCLASSIFIED,WHOLE FOODS MARKET,512,477-4455,550 BOWIE STREET, ,AUSTIN,TX,78703, ,TRAVIS,48453,NORTHWEST SIDE OF BOWIE STREET BETWEEN W 6TH STREET AND W 5TH STREET, , , ,2006-12-15T00:00:00.000Z,PHONE,2006-12-15T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18155426,TGS,-97.753125,30.270508,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
144, ,LCHQ_244, ,POINT,UNCLASSIFIED,CENTERPOINT ENERGY,713,207-1111,1111 LOUISIANA STREET, ,HOUSTON,TX,77002,5200,HARRIS,48201,"LOCATED ON THE SOUTHEAST SIDE OF LOUISIANA STREET, BETWEEN LAMAR STREET AND DALLAS STREET.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17927338,TGS,-95.36804,29.757265,NAVTEQ,2006Q3,ONENTITY,YES,TGS
145, ,LCHQ_286, ,POINT,UNCLASSIFIED,ROHM AND HAAS COMPANY,215,592-3000,100 INDEPENDENCE MALL WEST, ,PHILADELPHIA,PA,19106, ,PHILADELPHIA,42101,LCOATED ON SW CORNER OF MARKET ST AND INDEPENDENCE MALL W., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,18718935,TGS,-75.150942,39.950298,NAVTEQ,2006Q3,ONENTITY,YES,TGS
146, ,LCHQ_314, ,POINT,UNCLASSIFIED,ANADARKO PETROLEUM CORPORATION,832,636-1000,1201 LAKE ROBBINS DRIVE, ,THE WOODLANDS,TX,77380,1160,MONTGOMERY,48339,SOUTH SIDE OF LAKE ROBBINS DRIVE BETWEEN UNITED STATES HIGHWAY 75 AND WOODLOCH FOREST DRIVE, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,112567207,TGS,-95.452654,30.160612,NAVTEQ,2006Q3,ONENTITY,YES,TGS
147, ,LCHQ_452, ,POINT,UNCLASSIFIED,NATIONAL OILWELL VARCO,713,346-7500,10000 RICHMOND AVENUE, ,HOUSTON,TX,77042,4200,HARRIS,48201,LOCATED ON THE NORTHWEST CORNER OF RICHMOND AVENUE AND BRIARPARK DRIVE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17856957,TGS,-95.549769,29.729014,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
148, ,LCHQ_299, ,POINT,UNCLASSIFIED,APACHE CORPORATION,713,296-6000,2000 POST OAK BOULEVARD, ,HOUSTON,TX,77056,4499,HARRIS,48201,"LOCATED ON THE WEST SIDE OF POST OAK BOULEVARD,, BETWEEN LYNN LANE AND AMBASSADOR WAY.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17867448,TGS,-95.461554,29.745707,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
149, ,LCHQ_092, ,POINT,UNCLASSIFIED,MASSMUTUAL LIFE INSURANCE,413,788-8411,1295 STATE STREET, ,SPRINGFIELD,MA,01111,0001,HAMPDEN,25013,SOUTHEAST SIDE OF STATE STREET BETWEEN BENTON STREET AND BLUNT PARK ROAD ACROSS FROM ALTON STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22295819,TGS,-72.547432,42.116827,NAVTEQ,2006Q3,ONENTITY,YES,TGS
150, ,LCHQ_240, ,POINT,UNCLASSIFIED,"BAXTER INTERNATIONAL, INCORPORATED",847,948-4770,1 BAXTER PARKWAY, ,DEERFIELD,IL,60015,4625,LAKE,17097,"LOCATED ON THE NORTHEAST SIDE OF BAXTER PKY, .24 MILES EAST OF SAUNDERS RD.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,20130787,TGS,-87.879772,42.159292,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
151, ,LCHQ_089, ,POINT,UNCLASSIFIED,COCA-COLA COMPANY,404,676-2121,1 COCA-COLA PLAZA, ,ATLANTA,GA,30313,2420,FULTON,13121,LOCATED ON THE SOUTHWEST CORNER OF COCA-COLA PLAZA AND LUCKIE STREET NORTHWEST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22695978,TGS,-84.397332,33.770443,NAVTEQ,2006Q3,ONENTITY,YES,TGS
152, ,LCHQ_165, ,POINT,UNCLASSIFIED,SOUTHERN COMPANY,404,506-5000,30 IVAN ALLEN JUNIOR BOULEVARD NORTHWEST, ,ATLANTA,GA,30308, ,FULTON,13121,LOCATED ON THE NORTHWEST CORNER OF THE INTERSECTION OF IVAN ALLEN JUNIOR BOULEVARD NORTHWEST AND SPRING STREET NORTHWEST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22696942,TGS,-84.389657,33.764984,NAVTEQ,2006Q3,ONENTITY,YES,TGS
153, ,LCHQ_044, ,POINT,UNCLASSIFIED,UNITED PARCEL SERVICE OF AMERICA INCORPORATED,404,828-6000,55 GLENLAKE PARKWAY NORTHEAST, ,SANDY SPRINGS,GA,30328,3474,FULTON,13121,LOCATED ON THE EAST SIDE OF GLENLAKE PARKWAY NORTHEAST .66 MILE NORTH OF THE INTERSECTION OF GLENLAKE PARKWAY NORTHEAST AND ABERNATHY ROAD NORTHEAST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,133522761,TGS,-84.360124,33.94322,NAVTEQ,2006Q3,ONENTITY,YES,TGS
154, ,LCHQ_234, ,POINT,UNCLASSIFIED,DANA CORPORATION,419,535-4500,4500 DORR STREET, ,TOLEDO,OH,43615,4040,LUCAS,39095,ENTRANCE IS LOCATED ON THE N SIDE OF DORR ST BETWEEN ST ANDREWS RD AND PENN RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,46742613,TGS,-83.645926,41.656047,NAVTEQ,2006Q3,ONENTITY,YES,TGS
155, ,LCHQ_019, ,POINT,UNCLASSIFIED,CARDINAL HEALTH,614,757-5000,7000 CARDINAL PLACE, ,DUBLIN,OH,43017,1091,FRANKLIN,39049,"FROM THE INTERSECTION OF EMERALD PKY AND CARDINAL PLACE, TRAVEL APPROX .07 MILE S, ENTITY S SIDE OF CARDINAL PLACE.", , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127056663,TGS,-83.121143,40.109165,NAVTEQ,2006Q3,ONENTITY,YES,TGS
156, ,LCHQ_486, ,POINT,UNCLASSIFIED,LUBRIZOL CORPORATION,440,943-4200,29400 LAKELAND BOULEVARD, ,WICKLIFFE,OH,44092,2201,LAKE,39085,ENTRANCE IS LOCATED ON THE SE SIDE OF LAKELAND BLVD APPROXIMATELY 0.12 MILE NE OF LLOYD RD, , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,31922077,TGS,-81.479609,41.61152,NAVTEQ,2006Q3,ONENTITY,YES,TGS
157, ,LCHQ_119, ,POINT,UNCLASSIFIED,WYETH HEADQUARTERS,973,660-5000,5 GIRALDA FARMS, ,MADISON,NJ,07940,1027,MORRIS,34027,LOCATED ON EAST SIDE OF GIRALDA FARMS BETWEEN WOODLAND RD AND MADISON AVE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21786908,TGS,-74.436232,40.762013,NAVTEQ,2006Q3,ONENTITY,YES,TGS
158, ,LCHQ_231, ,POINT,UNCLASSIFIED,WINN-DIXIE STORES INCORPORATED,904,783-5000,5050 EDGEWOOD COURT, ,JACKSONVILLE,FL,32254,3601,DUVAL,12031,LOCATED AT THE SOUTHWEST CORNER OF EDGEWOOD COURT AND CASSAT AVENUE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23026773,TGS,-81.731609,30.324892,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
159, ,LCHQ_424, ,POINT,UNCLASSIFIED,US AIRWAYS GROUP INCORPORATED,480,693-0800,111 WEST RIO SALADO PARKWAY, ,TEMPE,AZ,85281,2880,MARICOPA,04013,SOUTH SIDE OF WEST RIO SALADO PARKWAY. BETWEEN SOUTH ASH AVENUE AND SOUTH MAPLE AVENUE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,31344186,TGS,-111.941871,33.428758,NAVTEQ,2006Q3,ONENTITY,YES,TGS
160, ,LCHQ_353, ,POINT,UNCLASSIFIED,GOOGLE INCORPORATED,650,623-4000,1600 AMPHITHEATRE PARKWAY, ,MOUNTAIN VIEW,CA,94043,1351,SANTA CLARA,06085,"LOCATED ON THE SOUTH SIDE OF AMPHITHEATRE PARKWAY, 0.21 MILES WEST OF THE T INTERSECTION OF AMPHITHEATRE PARKWAY AND BILL GRAHAM PARKWAY.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23735178,TGS,-122.08439,37.422422,NAVTEQ,2006Q3,ONENTITY,YES,TGS
161, ,LCHQ_474, ,POINT,UNCLASSIFIED,FRANKLIN RESOURCES INCORPORATED,650,312-2000,1 FRANKLIN PARKWAY, ,SAN MATEO,CA,94403,1906,SAN MATEO,06081,ENTRANCE TO ENTITY CAMPUS IS LOCATED ON THE NW SIDE OF FRANKLIN PKWY APPROX 0.05 MILES SW OF SARATOGA DR, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28501732,TGS,-122.29443,37.543983,NAVTEQ,2006Q3,ONENTITY,YES,TGS
162, ,LCHQ_200, ,POINT,UNCLASSIFIED,PACIFIC GAS AND ELECTRIC CORPORATION,415,267-7000,1 MARKET PLAZA,"SPEAR TOWER, SUITE 2400",SAN FRANCISCO,CA,94105,1420,SAN FRANCISCO,06075,NORTHEAST SIDE OF SPEAR STREET. BETWEEN MARKET PLAZA AND MISSION STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127833340,TGS,-122.394527,37.793284,NAVTEQ,2006Q3,ONENTITY,YES,TGS
163, ,LCHQ_484, ,POINT,UNCLASSIFIED,LEVI STRAUSS AND COMPANY,415,501-6000,1155 BATTERY STREET, ,SAN FRANCISCO,CA,94111,1230,SAN FRANCISCO,06075,SW SIDE OF BATTERY ST BETWEEN UNION ST AND GREENWICH ST, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23597681,TGS,-122.402244,37.802201,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
164, ,LCHQ_071, ,POINT,UNCLASSIFIED,HONEYWELL INTERNATIONAL,973,455-2000,101 COLUMBIA ROAD, ,MORRISTOWN,NJ,07960,4640,MORRIS,34027,LOCATED ON THE S SIDE OF COLUMBIA RD ABOUT .30 MILES W OF THE PARK AVAE AND COLUMBIA RD INTERSECTION., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21785387,TGS,-74.441772,40.793686,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
165, ,LCHQ_156, ,POINT,UNCLASSIFIED,THE CHUBB CORPORATION,908,903-2000,15 MOUNTAINVIEW ROAD, ,WARREN,NJ,07059,6711,SOMERSET,34035,LOCATED .23 MILE NORTHEAST OF MARTINSVILLE ROAD ON  ON THE NORTHEAST SIDE OF MOUNTAINVIEW ROAD AS ROAD CURVES TO THE SOUTHEAST., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21757228,TGS,-74.563263,40.643505,NAVTEQ,2006Q3,ONENTITY,YES,TGS
166, ,LCHQ_250, ,POINT,UNCLASSIFIED,SCHERING-PLOUGH CORPORATION,908,298-4000,2000 GALLOPING HILL ROAD, ,KENILWORTH,NJ,07033,1310,UNION,34039,ENTRANCE LOCATED ON THE SOUTH SIDE OF GALLOPING HILL ROAD BETWEEN GARDEN STATE PARKWAY AND WASHINGTON AVENUE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,21799609,TGS,-74.274363,40.678761,NAVTEQ,2006Q3,ONENTITY,YES,TGS
167, ,LCHQ_255, ,POINT,UNCLASSIFIED,ALCATEL - LUCENT,908,582-8500,600 MOUNTAIN AVENUE, ,MURRAY HILL,NJ,07974,2008,UNION,34039,ENTRANCE LOCATED .11 MILE NORTHEAST OF SOUTHGATE ROAD ON THE SOUTHEAST SIDE OF MOUNTAIN AVENUE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127768287,TGS,-74.401263,40.683953,NAVTEQ,2006Q3,ONENTITY,YES,TGS
168, ,LCHQ_419, ,POINT,UNCLASSIFIED,BED BATH AND BEYOND INCORPORATED,908,688-0888,650 LIBERTY AVENUE, ,UNION,NJ,07083,8130,UNION,34039,LOCATED .08 MILE SOUTHWEST OF RIDGE DRIVE ON THE NORTHWEST SIDE OF LIBERTY AVENUE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127768890,TGS,-74.303908,40.697254,NAVTEQ,2006Q3,ONENTITY,YES,TGS
169, ,LCHQ_137, ,POINT,UNCLASSIFIED,STAPLES INCORPORATED,508,253-5000,500 STAPLES DRIVE, ,FRAMINGHAM,MA,01702,4478,MIDDLESEX,25017,SOUTHEAST SIDE OF STAPLES DRIVE APPROXIMATELY .26 MILES SOUTH FROM THE INTERSECTION OF CROSSING BOULEVARD AND STAPLES DRIVE., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,89704391,TGS,-71.488843,42.291869,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
